SuperCategory,SubCategory,Level,guideword,Can-do statement,Example
ADJECTIVES,combining,A1,FORM: COMBINING TWO ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of common adjectives. ,"The teachers are very nice and friendly .
I like my house because it is big and comfortable .
You can buy Turkish and English products as well."
ADJECTIVES,combining,A2,FORM: COMBINING TWO ADJECTIVES WITH 'BUT',"Can use 'but' to join a limited range of common adjectives, after 'be'.","The weather was cloudy but fine.
It was cheap but beautiful."
ADJECTIVES,combining,B1,FORM: BEFORE THE NOUN,"Can use a comma to combine two adjectives used before the noun, following the usual order of adjective types.","It was the biggest TV in the bazaar, with its huge, black screen.
My house was built in 1864. It's an old, Victorian-style house."
ADJECTIVES,combining,B1,FORM: COMBINING COMPARATIVE ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of comparative adjectives.► adjectives: comparatives,"In the winter you can go to the fitness centre, there you can get stronger and fitter.
The cars will fly around the buildings like planes, and they will be faster and cheaper."
ADJECTIVES,combining,B1,FORM: COMBINING MORE THAN TWO ADJECTIVES ,"Can use commas and 'and' to join more than two adjectives, after 'be'.","Her name is Cassia, she is beautiful, intelligent, funny and very reliable.
He is tall, thin and not very handsome, but he is very nice and friendly."
ADJECTIVES,combining,B1,FORM: COMBINING THE SAME COMPARATIVE ADJECTIVE WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or get. ► adjectives: comparatives","I could see how the fire was burning the door, and the room became hotter and hotter.
I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes."
ADJECTIVES,combining,B1,FORM: COMPOUND ADJECTIVES,"Can use a limited range of compound adjectives ('good-looking', 'well-known') ","He was tall and good-looking.
This programme is presented by Gato Feobranto, a well-known comedy group."
ADJECTIVES,combining,B2,FORM: COMPOUND ADJECTIVES,"Can use an increasing range of compound adjectives ('up-to-date', 'state-of-the-art')","The selling point is that it contains the most up-to-date and state-of-the-art know-how, for instance a water-proof keyboard, information security system, etc. A survey of our customers last year indicated that over 70% of them are content with the user-friendly designs.
getting to work  by car is more healthy for drivers but has a long-term effect on the environment and on us, in the end, as well."
ADJECTIVES,combining,B2,FORM: PHRASES MODIFYING NOUNS,Can use adjective phrases to modify nouns.,"Besides, we could leave one day in the morning and travel by boat to a small and exotic island full of different and exotic species of birds that we could observe and photograph.
Emily Brontë succeeded in writing a romantic, psychological and tragic story, beautifully set in these mysterious moors."
ADJECTIVES,combining,C1,FORM: COMPOUND ADJECTIVES,"Can use a wide range of compound adjectives ('open-minded', 'above-mentioned', 'well-to-do', 'jaw-dropping') ","I would describe myself as an easy-going and open-minded person.
we suggest investing a certain amount of money in the above-mentioned technical devices in order to achieve the financial target.
But as she does not live in a well-to-do family, Ola was never able to afford additional private lessons, for example.
If anyone has ever seen it, they would agree with me that it was THE most jaw-dropping road in the world."
ADJECTIVES,combining,C2,FORM: COMBINING MULTIPLE ADJECTIVES,"Can combine more complex, lengthy strings of adjectives, joining the last two adjectives with 'and'. ","A timid, shy, self-conscious, over-sensitive and vulnerable person can yearn to make friends with someone who is very self-assured, confident, decisive, even bossy.
In the increasingly materialistic, greedy and shallow society we live in today, it would almost seem that there are no disadvantages to being rich."
ADJECTIVES,combining,C2,USE: FOCUS,"Can use a list of adjectives in ellipted clauses before and after a noun, to give focus. ► focus","Imaginative, good-humoured, friendly, he was respected and liked by his peer-students.
The latter – fat, ugly and sick – blows his top when Ralph tells the others about the fat boy's nice name, as he wanted to keep it secret."
ADJECTIVES,comparatives,A2,FORM: + -ER,Can form comparative adjectives from adjectives of one syllable by adding '-er'.,"I played computer games with my older brother.
The shirt was cheaper than the trousers.
It is easy to use and it is smaller than the old one."
ADJECTIVES,comparatives,A2,FORM: + -IER,Can form comparative adjectives with adjectives of two syllables ending in '-y' by changing the 'y' to an 'I' and adding '-er'.,"I like it because it's small and easier to use than other phones.
The students were happier and there were lots of stories for their parents."
ADJECTIVES,comparatives,A2,FORM: BEFORE NOUNS,"Can use comparative adjectives attributively, before nouns. ","I just watched a cricket match with my younger brother and my father.
I bought the shoes and the t-shirt for my older brother's party.
I want to take this course because I want to know more about computers, so that I can get a better job."
ADJECTIVES,comparatives,A2,FORM: COMPLEMENT OF 'BE' ,Can use comparative adjectives as a complement of 'be'.,"Sam, It would be better if you came after 4.30 p.m.
You can come by bus, it's easier.
You need to wear shorts and a t-shirt so you are more comfortable."
ADJECTIVES,comparatives,A2,FORM: DOUBLE CONSONANT + '-ER',"Can form comparative adjectives with adjectives of one syllable with a short vowel, by doubling the final consonant and adding '-er'","The rooms are all very beautiful, but I prefer my room because is bigger.
I bought lots of T-shirts because the weather is getting hotter."
ADJECTIVES,comparatives,A2,FORM: ENDING IN '-E' + '-R' ,"Can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.","I think it will be nicer.
You can come by boat, but I prefer to come by aeroplane because it is safer."
ADJECTIVES,comparatives,A2,FORM: IRREGULAR,Can form irregular comparative adjectives.,"What colour do you think is better?
For further information, contact Joey Hung."
ADJECTIVES,comparatives,A2,FORM: WITH 'MORE',Can form a range of comparative adjective phrases using 'more' + longer adjectives (usually three or more syllables). ,"I think you must be more careful.
It was more expensive than the other clothes."
ADJECTIVES,comparatives,A2,FORM: WITH 'THAN',Can use a comparative adjective with 'than' to compare two nouns or noun phrases.► comparative clauses,"It's smaller than my old phone and I like it because it has bluetooth and it isn't very expensive.
The weather in Thailand was hotter than Vietnam, but I was alright!
My new mobile is more interesting than my old mobile."
ADJECTIVES,comparatives,B1,FORM/USE: WITH '(SO) MUCH' ,"Can use '(so) much' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be'. ","I think the teacher in the new class is much better than the last one.
The house is beautiful, and so much bigger than the previous one."
ADJECTIVES,comparatives,B1,FORM/USE: WITH 'A (LITTLE) BIT' ,"Can use 'a (little) bit' to modify comparative adjectives used predicatively after a verb, usually 'be'.","He's 15, a bit smaller than me, dark hair, brown eyes.
Our first lesson was a bit shorter, but very unusual.
She's a little bit older than me."
