SuperCategory,SubCategory,Level,guideword,Can-do statement,Example
ADJECTIVES,combining,A1,FORM: COMBINING TWO ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of common adjectives. ,"The weather is cold and windy today.
She is smart and funny.
The park is quiet and peaceful.
He is tall and strong.
The food is delicious and spicy.
The book is interesting and informative.
The flowers are beautiful and colorful.
The movie is exciting and scary.
The dress is pretty and elegant.
The car is fast and reliable."
ADJECTIVES,combining,A2,FORM: COMBINING TWO ADJECTIVES WITH 'BUT',"Can use 'but' to join a limited range of common adjectives, after 'be'.","The movie was long but interesting.
The food was spicy but delicious.
The room was small but cozy.
The dress was simple but elegant.
The book was old but valuable.
The trip was tiring but fun.
The house was big but empty.
The music was loud but enjoyable.
The day was cold but sunny.
The car was old but reliable."
ADJECTIVES,combining,B1,FORM: BEFORE THE NOUN,"Can use a comma to combine two adjectives used before the noun, following the usual order of adjective types.","The beautiful, sunny day made everyone happy.
She wore a long, red dress to the party.
The big, old tree provided shade in the garden.
He bought a new, expensive car last week.
The small, cozy café was packed with people.
She read a fascinating, historical novel last night.
The tall, thin man walked quickly down the street.
They visited a charming, seaside town on vacation.
The soft, fluffy pillow was perfect for sleeping.
The bright, colorful flowers brightened up the room."
ADJECTIVES,combining,B1,FORM: COMBINING COMPARATIVE ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of comparative adjectives.► adjectives: comparatives,"The house is bigger and more comfortable than the last one we visited.
She is more intelligent and creative than her classmates.
The new restaurant is more expensive and exclusive than the old one.
He is taller and stronger than his younger brother.
The new phone is faster and more efficient than the previous model.
The garden is more beautiful and well-maintained than the one next door.
The movie is more exciting and suspenseful than the book.
The hotel is more luxurious and spacious than the one we stayed in last year.
The new laptop is lighter and more portable than the old one.
The new dress is more stylish and elegant than the one she wore yesterday."
ADJECTIVES,combining,B1,FORM: COMBINING MORE THAN TWO ADJECTIVES ,"Can use commas and 'and' to join more than two adjectives, after 'be'.","Her house is big, comfortable, and very clean.
She is kind, patient, and always helpful.
The weather is cold, windy, and sometimes rainy.
He is smart, hardworking, and very talented.
The food was delicious, spicy, and very satisfying.
The dress is elegant, stylish, and very expensive.
The park is quiet, peaceful, and full of flowers.
The movie was exciting, action-packed, and very entertaining.
The book is interesting, informative, and very well-written.
The car is fast, efficient, and very reliable."
ADJECTIVES,combining,B1,FORM: COMBINING THE SAME COMPARATIVE ADJECTIVE WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or get. ► adjectives: comparatives","The weather is getting colder and colder as winter approaches.
As the day went on, the traffic became heavier and heavier.
His attitude towards his job has become more and more negative over time.
The situation in the office is getting more and more tense with each passing day.
Her cooking skills have become better and better with practice.
The noise from the construction site is getting louder and louder.
The quality of the product has improved more and more with each new version.
As the movie progressed, the tension became greater and greater.
The number of tourists visiting the city has increased more and more each year.
The cost of living is rising higher and higher, making it difficult for many people."
ADJECTIVES,combining,B1,FORM: COMPOUND ADJECTIVES,"Can use a limited range of compound adjectives ('good-looking', 'well-known') ","She wore a stylish and comfortable outfit.
The well-known author gave a fascinating talk.
They live in a spacious and modern apartment.
The well-known actor received an award for his performance.
He bought a high-quality and durable laptop.
The well-known musician performed at the concert.
She prepared a delicious and nutritious meal.
The well-known scientist presented her research findings.
He drove a fast and reliable car.
The well-known artist created a beautiful painting."
ADJECTIVES,combining,B2,FORM: COMPOUND ADJECTIVES,"Can use an increasing range of compound adjectives ('up-to-date', 'state-of-the-art')","The up-to-date software ensures we have the latest security features.
The state-of-the-art facility is equipped with the most advanced technology.
The user-friendly interface makes the device easy to navigate.
The water-proof design is perfect for outdoor activities.
The eco-friendly packaging reduces our carbon footprint.
The cost-effective solution saves the company a significant amount of money.
The time-sensitive project requires immediate attention.
The high-quality materials ensure the product's durability.
The energy-efficient appliances help lower our electricity bills.
The weather-resistant fabric keeps the equipment safe from the elements."
ADJECTIVES,combining,B2,FORM: PHRASES MODIFYING NOUNS,Can use adjective phrases to modify nouns.,"The old, creaky house stood at the end of the street, filled with memories of a bygone era.
She wore a bright, colorful dress that made her stand out in the crowd.
The new, innovative technology has revolutionized the way we communicate.
He read a thick, historical novel that transported him to another time.
The small, quaint village was a perfect getaway from the hustle and bustle of the city.
She prepared a delicious, homemade meal that was both hearty and satisfying.
The tall, imposing building dominated the skyline of the city.
He carried a heavy, leather-bound book that seemed to contain ancient secrets.
The soft, melodic music soothed the restless crowd.
The large, bustling market was a feast for the senses."
ADJECTIVES,combining,C1,FORM: COMPOUND ADJECTIVES,"Can use a wide range of compound adjectives ('open-minded', 'above-mentioned', 'well-to-do', 'jaw-dropping') ","I found the above-mentioned information to be extremely useful in my research.
She was known for her open-minded approach to new ideas and perspectives.
The well-to-do neighborhood had a high concentration of luxury cars.
The jaw-dropping performance left the audience in awe.
His open-minded attitude allowed him to consider all potential solutions.
The above-mentioned points are critical to the success of the project.
Despite coming from a well-to-do background, she remained humble and grounded.
The jaw-dropping scenery made the hike worth every step.
Her open-mindedness helped her bridge the gap between different cultures.
The well-to-do family donated generously to various charities."
ADJECTIVES,combining,C2,FORM: COMBINING MULTIPLE ADJECTIVES,"Can combine more complex, lengthy strings of adjectives, joining the last two adjectives with 'and'. ","A timid, shy, self-conscious, over-sensitive and vulnerable person can yearn to make friends with someone who is very self-assured, confident, decisive, even bossy.
In the increasingly materialistic, greedy and shallow society we live in today, it would almost seem that there are no disadvantages to being rich.
A diligent, hardworking, dedicated, passionate and ambitious student will always excel in their studies, regardless of the challenges they face.
The ancient, crumbling, ivy-covered, derelict and haunted mansion on the hill has long been a subject of local folklore and mystery.
A kind, generous, thoughtful, caring and compassionate individual will always find ways to make a positive impact on the lives of those around them.
The modern, sleek, minimalist, functional and stylish apartment was the perfect blend of form and function for the young professional couple.
An experienced, knowledgeable, insightful, empathetic and patient teacher can make a significant difference in the lives of their students.
The vast, expansive, rolling, green and lush countryside was a stark contrast to the bustling, crowded and noisy cityscape they had just left behind.
A creative, innovative, resourceful, imaginative and visionary entrepreneur can turn even the most challenging ideas into successful businesses.
The warm, inviting, cozy, comfortable and welcoming atmosphere of the small family-run café made it a favorite spot for locals and tourists alike."
